 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2012
"Unidade da Federação";"População_residente"
"11 Rondônia";1637884
"12 Acre";792045
"13 Amazonas";3684326
"14 Roraima";480290
"15 Pará";7960134
"16 Amapá";728015
"17 Tocantins";1449779
"21 Maranhão";6798830
"22 Piauí";3213393
"23 Ceará";8737287
"24 Rio Grande do Norte";3302720
"25 Paraíba";3875373
"26 Pernambuco";9126434
"27 Alagoas";3230877
"28 Sergipe";2152329
"29 Bahia";14441531
"31 Minas Gerais";20235204
"32 Espírito Santo";3689347
"33 Rio de Janeiro";16510627
"35 São Paulo";43119841
"41 Paraná";10822187
"42 Santa Catarina";6530943
"43 Rio Grande do Sul";11014448
"50 Mato Grosso do Sul";2557442
"51 Mato Grosso";3185148
"52 Goiás";6316302
"53 Distrito Federal";2722198
"Total";198314934
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

