 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2011
"Unidade da Federação";"População_residente"
"11 Rondônia";1618210
"12 Acre";778499
"13 Amazonas";3618040
"14 Roraima";469543
"15 Pará";7862943
"16 Amapá";711453
"17 Tocantins";1431478
"21 Maranhão";6757213
"22 Piauí";3203635
"23 Ceará";8680836
"24 Rio Grande do Norte";3271415
"25 Paraíba";3859813
"26 Pernambuco";9062229
"27 Alagoas";3213606
"28 Sergipe";2130440
"29 Bahia";14372994
"31 Minas Gerais";20096163
"32 Espírito Santo";3642595
"33 Rio de Janeiro";16405508
"35 São Paulo";42707383
"41 Paraná";10738066
"42 Santa Catarina";6441468
"43 Rio Grande do Sul";10963317
"50 Mato Grosso do Sul";2525762
"51 Mato Grosso";3145830
"52 Goiás";6214241
"53 Distrito Federal";2681052
"Total";196603732
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

