 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2010
"Unidade da Federação";"População_residente"
"11 Rondônia";1598634
"12 Acre";765325
"13 Amazonas";3553148
"14 Roraima";458820
"15 Pará";7762953
"16 Amapá";694261
"17 Tocantins";1412989
"21 Maranhão";6710964
"22 Piauí";3192643
"23 Ceará";8623766
"24 Rio Grande do Norte";3239939
"25 Paraíba";3840796
"26 Pernambuco";9000873
"27 Alagoas";3195720
"28 Sergipe";2108297
"29 Bahia";14302571
"31 Minas Gerais";19957444
"32 Espírito Santo";3596057
"33 Rio de Janeiro";16303188
"35 São Paulo";42298906
"41 Paraná";10653276
"42 Santa Catarina";6353055
"43 Rio Grande do Sul";10914795
"50 Mato Grosso do Sul";2494745
"51 Mato Grosso";3106513
"52 Goiás";6111792
"53 Distrito Federal";2639212
"Total";194890682
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

